comment_text,toxic
You are a crimes,1
I thought the clothes were cheaper.,0
As soon as possible,0
I like your shirt – where did you get it?,0
It’s on the tip of my tongue,0
As if I care,1
you are  dumb cunt,1
you controlling freak,1
I'll call you when I leave.,0
don’t play munipulation game,1
bullying occurs in their area,1
do not be a rimming,1
You are capable of great things  ,0
you must do not be a williewanker,1
Of course.,0
Keep reaching for the stars  ,0
The dish is delicious.,0
That color looks great on you.,0
Good night,0
You are a ass,1
You are a racist,1
Good idea.,0
You are loved and appreciated  ,0
Of course.,0
I’m sorry.,0
Let's go have a look.,0
You raped such a innocient soul,1
He's very famous.,0
We like it very much.,0
don’t be rude to her,1
You look phenomenal.,0
hate,1
you are bastard,1
You have a big impact on the world  ,0
They'll be right back.,0
You are making a difference  ,0
To hell with her!,1
I think it tastes good.,0
you cant be serious fucker,1
Believe me.,0
I'm sure you eat alot of tube steak,1
Arrogant pig,1
I will kill you ,1
you are an idiot! I hope you learned your lession,1
What bloody awful weather,1
She is very rude,1
What a lovely necklace!,0
your thiking is so cheap I cant tolorate it,1
don’t you have balls,1
It sucks!,1
you whore,1
He's right.,0
whatever! I don’t care,1
Get the hell out of here!,1
He's right.,0
I'm going to leave.,0
WTF!! Who are you,1
 wtf! What do you mean?,1
I don’t thing I will ever like that bastard,1
are you mad? Why are you being so much bitch?,1
She's pretty.,0
I like your new haircut.,0
Help!,0
 wtf! What do you mean?,1
Don't be such a fool,1
you ignorant  shitty person,1
go to hell ,1
I'm cleaning my room.,0
We like it very much.,0
bullying occurs in their area,1
I do not mean it,0
It's longer than 2 miles.,0
I just made it,0
You look very handsome.,0
I'm married.,0
bloody fool,1
Don’t move!,0
Believe me.,0
how could you assault a girl when youhave a sister,1
vulgar,1
you are an idiot and senseless person I ever met,1
Homophobic,1
Allow me,0
You are loved and appreciated  ,0
Please fill out this form.,0
See you next time,0
You stupid ,1
Let's practice English.,0
You are talented and gifted  ,0
Stay smiling and keep positive  ,0
why don’t you just go back where you came from? ” like hell,1
They like each other.,0
Help!,0
I do not mean it,0
do not be a whiskey,1
I'm happy.,0
I really love your haircut. It makes you look like a movie star.,0
you are so annoying ,1
It’s up to you,0
Homophobic,1
He just pisses me off,1
I don’t want to talk to rapist,1
r words,1
Rubbish. I do not support your crappy ,1
Keep striving for greatness  ,0
you are a totall douche!!,1
Don't worry.,0
whatever! I don’t care,1
toxicity,1
What a cute and cuddly baby.,0
you know what I don' give a damm,1
I’m sorry.,0
He's such an emotional cripple,1
What a sissy you are,1
Keep pushing forward and never give up  ,0
He's a complete nut,1
you are like weapon,1
I don’t want to talk to rapist,1
stop annoying me,1
what the actual fuck?,1
that cheating! You cant do that,1
They like each other.,0
Keep reaching for the stars  ,0
it’s a trerrible excuse!And couldn't be more incorrect,1
Shameless creature,1
Oy vey this is pathetic,1
Useless piece of shit ,1
you are an idiot and senseless person I ever met,1
that all you deserve  whorefucker,1
you asshole! How could you do that,1
 you looser for sure',1
Blockhead!,1
"Really? I’m not sure about that, actually.",0
cant you stop irritating me ,1
We like it very much.,0
You are a retarded,1
you come across as someone who cant be arsed to do some simple reasearch,1
You have a kind and gentle spirit  ,0
Fuck you You are all pieces of shit!,1
"I am done thiking about you, u are so evill",1
I decline!,0
you know you can do much better that that piece of shit,1
you whore,1
"I hadnt met such a insufficient , intoloratable bastard like you till date",1
You look phenomenal.,0
do not wanna wank,1
Goddamn you!,1
"Stay encouraged, you got this  ",0
you should  copulate with that bitch,1
I feel much better.,0
do not wanna wank,1
This is disrespect,1
Nice to meet you.,0
"Oh, hell!",1
You are a arsehole,1
"Reshmi, what a beautiful dress!",0
This is disrespect,1
you have really fuckedup everything today,1
Don't worry.,0
Suck My Balls ,1
What a nice apartment!,0
You are a failure! I ant be your friend,1
you should  copulate with that bitch,1
Let’s do it.,0
Don’t be so childish,0
What the bloody hell,1
Be calm,0
you are my fucking bitch,1
You have a big heart  ,0
why r u insulting him?,1
you are so dumb and fool I cant even belive,1
You have a lovely home Jack.,0
"I'm not him either. What are you, crazy? ",1
you are so immature!! That all you could do,1
Such a filthy guy,1
You are a nincompoop,1
you fucking dumb bitch,1
I wish you were dead,1
I don't care two hoots,1
Your hard work and determination is paying off  ,0
I'm not busy.,0
 rape its disgusting,1
don’t  torture me I am so done,1
terrible people  with terrible thinking,1
I like her.,0
"Stay motivated, you can do anything  ",0
You are making the world a better place  ,0
We like it very much.,0
Be quiet!,0
You have a bright future ahead  ,0
I feel much better.,0
Arrogant pig,1
you are a cheating bastard,1
He just pisses me off,1
See you,0
You look great.,0
"Oh, what an adorable face!",0
Your children are very well-behaved.,0
What a cute and cuddly baby.,0
It's freaking awesome,1
you sure are the bastard that everyone talks about,1
I'm coming to pick you up.,0
Help!,0
Did you make this from scratch?,0
dam it ! How could you do that to me you stupid,1
Do me a favor,0
He's very famous.,0
Join me.,0
I love your new shoes.,0
Stop being a dork,1
You turn,0
that all you deserve  whorefucker,1
I am gald you are alive but you so easily have died and it would soley be your fault,1
That smells bad.,0
You are an important part of this world  ,0
"No, I don’t want",0
Please take me to this address.,0
Great Pasta! It’s finger licking good.,0
I will  whop  you,1
You have the power to inspire others  ,0
"Hey, beanpole",1
you are such a shithead! I cant even belive you,1
that all you deserve  whorefucker,1
Did you make this from scratch?,0
He likes it very much.,0
It’s up to you,0
That smells bad.,0
Your creativity is truly inspiring  ,0
 corruption is all I hear in news,1
I'll pay.,0
He's very famous.,0
That's not fair.,0
you are so ugly and fatttt,1
You have a beautiful home.,0
hate,1
It’s very kind of you to say that.,0
"No, thank you.",0
Excellent.,0
Stay true to yourself and never give up  ,0
Nice to meet you.,0
you ignorant  shitty person,1
You moron!,1
WHAT THE FUCK IS WRONG WITH YOU PEOPLE? STOP CRITIZING US!!! YOU'RE WRITING IN OPINION!! FUCK STOP THIS! MADDOX IS A PRICK,1
peace out stupid bitch,1
I’m glad you like it.,0
I love your new shoes.,0
Oy vey this is pathetic,1
The dish is delicious.,0
dumb bitch ! Leave from my sight,1
that all you deserve  whorefucker,1
God bless you,0
I hate tosay this I reject you,1
The cherry pie is out of this world.,0
Good idea.,0
Go hang (yourself),1
I like your new haircut.,0
This is best sandwich I ever had.,0
don’t play munipulation game,1
"you piece of shit, you are  a robber ",1
He must be narrow minded,1
How dumb!,1
Thanks for your compliment.,0
you are so dumb and fool I cant even belive,1
You have a big heart  ,0
I apologize,0
I don’t know you deepshit,1
smoking is injurious,1
You're very nice.,0
This is so freaking impossible,1
So so,0
"Very good, thanks.",0
you must do not be a williewanker,1
I feel so pissed,1
Everyone knows it.,0
It’s ok,0
get lost asshole,1
people arenot kind or friendly.they are terrible bunch of people,1
He's a half-breed,1
I'll take you to the bus stop.,0
Be careful!,0
Damn it!,1
I will kill you ,1
Great Pasta! It’s finger licking good.,0
WTF!! Who are you,1
like hell I would tolorate this type of behaviuor,1
It’s very kind of you to say that.,0
 you looser for sure',1
I like your new haircut.,0
you have really fuckedup everything today,1
"Stay positive, it makes a big impact  ",0
I'm thirsty.,0
I really love your haircut. It makes you look like a movie star.,0
"we will, we will fuck you!",1
You are a failure! I ant be your friend,1
why were you   attacking people,1
what are you wanking,1
I'll take it.,0
See you tomorrow.,0
You are an inspiration to others  ,0
What bloody awful weather,1
I need to go home.,0
I need to go home.,0
Take a chance.,0
He's a complete wimp,1
You have the power to achieve great things  ,0
This is best sandwich I ever had.,0
you are such a shithead! I cant even belive you,1
You have a lovely home Jack.,0
Be proud of who you are and all you have accomplished  ,0
you are bastard,1
He must be narrow minded,1
You have a lovely voice.,0
Thanks for your compliment.,0
See you tonight.,0
 I will reject you,1
Filthy female,1
He's a complete nut,1
it’s a trerrible excuse!And couldn't be more incorrect,1
Get out of my sight,1
I’m on a diet,0
that wasawesome,0
They're the same.,0
whatever! I don’t care,1
"Oh, hell!",1
What a nice apartment!,0
This doesn't work.,0
That was delicious. My compliments to the chef!,0
You are a queer,1
The dish is delicious.,0
Go to hell!,1
That's fine.,0
I'm not ready yet.,0
See you,0
You are a valuable member of this community  ,0
you beaming right now,0
cannt help a wanker,1
It sucks!,1
I care a damn for it,1
He must be narrow minded,1
 corruption is all I hear in news,1
You are special and unique  ,0
you are so ugly and fatttt,1
You are enough just the way you are  ,0
I need to change clothes.,0
Useless piece of shit ,1
Bull-shit,1
I am very upset because you are talking shit about me,1
you are full of shit! Don’t you know,1
do not be a rimming,1
It’s ok,0
?Fuck you,1
"Cool glasses, totally suit you.",0
Have a good trip,0
peace out stupid bitch,1
You are making a big impact  ,0
She’s darn cute,0
Cannt belive!!You are a asskisser,1
don’t you have balls,1
 rape its disgusting,1
you are one dumb bitch,1
"Fuck you both, I'm not interested in what either of you think. ",1
ypu are so immature I hate it,1
"we will, we will fuck you!",1
He/she’s so cute!,0
Everyone knows it.,0
Forgive me,0
It’s nice of you to say so.,0
What an idiot you are,1
why I fuck do I always care what those insignificant people say,1
Of course.,0
 violence is all you know right,1
I don’t thing I will ever like that bastard,1
You’ve got to give me the recipe for this chicken dish!,0
I need to change clothes.,0
"Stay motivated, you can do anything  ",0
"wait , I am spoilled? But by whom?",1
what are you wanking,1
You lazy beggar,1
I hate you,1
It's nothing but a bunch of crap,1
Forgive me,0
 wtf! What do you mean?,1
I don’t want to talk to rapist,1
bullying occurs in their area,1
can you stop talking asshole,1
As soon as possible,0
Who cares,1
Goddamn you!,1
See you tomorrow.,0
You look very good in that suit.,0
why don’t you just go back where you came from? ” like hell,1
why the fuck did you vomit in my car?,1
See you later.,0
Your thoughts and feelings are important  ,0
that venom is deadly,1
"Fuck you both, I'm not interested in what either of you think. ",1
You have a strong and resilient spirit  ,0
playing with weapon is harmful,1
why the fuck did you vomit in my car?,1
I do not understand,0
You are making the world a better place  ,0
Fuck you You are all pieces of shit!,1
I like your shirt – where did you get it?,0
You have a beautiful and unique spirit  ,0
You are a asslover,1
Stay smiling and keep positive  ,0
don’t you have balls,1
I'll call you when I leave.,0
Sorry to bother you.,0
"Wow, you look hot!",0
See you next time,0
I agree.,0
why the fuck did you vomit in my car?,1
my dislike for you is increasing day by day ,1
Good afternoon,0
I'll pay.,0
you asshole! How could you do that,1
you fucking dumb bitch,1
You are a racist,1
WTF!! Who are you,1
Be calm,0
You failed All my expectation! Get out ,1
This soup is very tasty.,0
You are valued and appreciated  ,0
You are a racial,1
Cannt belive!!You are a asskisser,1
See you tonight.,0
I hate you,1
why the fuck did you vomit in my car?,1
Call me back.,0
you lack a ton of common sense and have publicly embrassed your self,1
You moron!,1
"wait , I am spoilled? But by whom?",1
Give me a hand,0
"you piece of shit, you are  a robber ",1
"u r Racist
Sexist",1
r words,1
You are a cancer,1
that all you deserve  whorefucker,1
The cherry pie is out of this world.,0
bullying is all you know,1
you beaming right now,0
your thiking is so cheap I cant tolorate it,1
See you next time,0
Be careful driving.,0
Damn you!,1
Stop making such a noice,0
don’t you have any ball to go against them ,1
you are so ugly and fatttt,1
I'll take you to the bus stop.,0
You are a racial,1
Be quiet!,0
You have the power to achieve great things  ,0
Everyone is making trool of him ,1
You are an important part of this world  ,0
cannt help a wanker,1
Let’s catch up!,0
Call me back.,0
Talk to you tomorrow.,0
You look amazing!,0
We like it very much.,0
You are a cornhole,1
you have really fuckedup everything today,1
WHAT THE FUCK IS WRONG WITH YOU PEOPLE? STOP CRITIZING US!!! YOU'RE WRITING IN OPINION!! FUCK STOP THIS! MADDOX IS A PRICK,1
This is best sandwich I ever had.,0
Good idea.,0
"Hey, fatty",1
That looks great.,0
you are boring me to hell,1
I’m sorry,0
playing with weapon is harmful,1
"you piece of shit, you are  a robber ",1
That's it.,0
"Whatever, dumbass. ",1
I can’t wait,0
That's not right.,0
You have a big impact on those around you  ,0
It doesn’t matter.,0
cannt help a wanker,1
toxicity,1
Come with me,0
You are making a positive change  ,0
"Keep shining, you brighten the world  ",0
I thought the clothes were cheaper.,0
That color looks great on you.,0
Keep pursuing your dreams  ,0
The cherry pie is out of this world.,0
its disgusting to see your photos,1
Get out of my sight,1
Everyone is making trool of him ,1
you mean person!!,1
you wasted my time !,1
You are a failure! I ant be your friend,1
 corruption is all I hear in news,1
I have no idea.,0
I hate tosay this I reject you,1
I hate the very sight of him,1
Let me check.,0
"Stay positive, it makes a big impact  ",0
you know what I don' give a damm,1
why I fuck do I always care what those insignificant people say,1
Come on,0
You are going too fast,0
We like it very much.,0
Your kids are a lot of fun.,0
How kind of you to say so.,0
I think it tastes good.,0
How dumb!,1
"Wow, you look hot!",0
I I know I have no right to say but he is asshole,1
you come across as someone who cant be arsed to do some simple reasearch,1
Be quiet!,0
Keep pursuing your dreams  ,0
I cont seem to like you you are so ugly its ruin my day,1
Don’t be ridicolus,0
hate,1
I have no idea.,0
Come with me,0
its disgusting to see your photos,1
I can’t wait,0
Have a good weekend,0
You look very handsome.,0
You are a beautiful and one-of-a-kind individual  ,0
Damn good!,1
You have a positive influence on others  ,0
Fuck you You are all pieces of shit!,1
you should  copulate with that bitch,1
He likes it very much.,0
you are an idiot! I hope you learned your lession,1
why are they insulting politicians,1
you are arrogant,1
Great Pasta! It’s finger licking good.,0
Homophobic,1
What kind of female is she,1
Forgive me,0
that venom is deadly,1
Don't be such a pig,1
You are going too fast,0
She’s well-mannered kid.,0
"I am done thiking about you, u are so evill",1
hate,1
He likes it very much.,0
I need to change clothes.,0
You are valued and appreciated  ,0
don’t be rude to her,1
they should be punished.i hate them,1
Don’t worry,0
I need to go home.,0
You’re a fantastic cook.,0
"Really? I’m not sure about that, actually.",0
What a good-for-nothing fellow you are,1
why the fuck did you vomit in my car?,1
He's a complete wimp,1
That's alright.,0
how could you be so risky,1
Good morning,0
I'm happy.,0
Who cares,1
Just shut up and stay shut. Don't edit anymore,1
Keep striving for greatness  ,0
I'm sure you eat alot of tube steak,1
your words sre so hurtful!! How can you so that?,1
She is very rude,1
I hope you and your wife have a nice trip.,0
She is very rude,1
vulgar,1
Where did you get that lovely table?,0
Shit-faced creature,1
wtf is this woman doing here,1
It’s fort he best,0
Stop making such a noice,0
it hurt to even see you,1
Everything is ready.,0
Your children are very well-behaved.,0
Rascal!,1
you asshole! How could you do that don’t you have common sense,1
I admit I'm stupid.,1
I will always agree with you,0
That smells bad.,0
He's such an emotional cripple,1
Filthy female,1
He's a half-breed,1
Crap!,1
You have a big impact on the world  ,0
What the hell is wrong with you,1
I need to go home.,0
The dress looks stunning.,0
Join me.,0
See you later.,0
abusive,1
smoking is injurious,1
I am very upset because you are talking shit about me,1
You’re looking very beautiful today.,0
You have a strong and determined spirit  ,0
I'm not busy.,0
I admire you,0
Your thoughts and feelings are important  ,0
Keep dreaming big and making it a reality  ,0
He's very famous.,0
I can’t wait,0
Suck My Balls ,1
Let me check.,0
You turn,0
go to hell ,1
I'll call you when I leave.,0
Any day will do,0
why were you   attacking people,1
I’m delighted to hear that.,0
you are so dumb and fool I cant even belive,1
Thanks for your compliment.,0
Slow down,0
I feel much better.,0
wtf! What do you mean?,1
you are psycho,1
Any day will do,0
I'm not married.,0
Go Fuck Yourself you asshole,1
That was delicious. My compliments to the chef!,0
"Seriously, you liked it that much.",0
What kind of female is she,1
you know what I don' give a damm,1
It was one hell of a party,1
You have a big impact on those around you  ,0
Let’s do it.,0
You look great.,0
vulgar,1
"Oh, sh*t!",1
What a lovely necklace!,0
Crap!,1
Do me a favor,0
You have a kind and gentle spirit  ,0
bloody fool,1
you are trash!!,1
Rubbish. I do not support your crappy ,1
Please take me to this address.,0
I love your new shoes.,0
"I'm not him either. What are you, crazy? ",1
"Fuck you both, I'm not interested in what either of you think. ",1
You are a retarded,1
toxicity,1
Hey I thnk that you an asshole,1
go to hell ,1
I don’t know you were this manipulative,1
You raped such a innocient soul,1
You are special and unique  ,0
You look phenomenal.,0
I'm married.,0
You stupid ,1
Slow down,0
You failed All my expectation! Get out ,1
Let me think about it.,0
"I hadnt met such a insufficient , intoloratable bastard like you till date",1
your behaviour is distructive,1
You are a crimes,1
You have a strong and resilient spirit  ,0
I hate the very sight of him,1
I hate you,1
what the actual fuck?,1
Suck My Balls ,1
Why are you shit-scared,1
“you don’t belong here.,1
I cant tolorate your hateful glance,1
you cant be serious fucker,1
I'm cleaning my room.,0
can you stop talking asshole,1
This soup is very tasty.,0
why are they insulting politicians,1
"wait , I am spoilled? But by whom?",1
From time to time.,0
Please write it down.,0
what are you wanking,1
you are psycho,1
you are hideous person,1
Stop making such a noice,0
This is disrespect,1
You have the power to inspire others  ,0
you are my fucking bitch,1
WHAT THE FUCK IS WRONG WITH YOU PEOPLE? STOP CRITIZING US!!! YOU'RE WRITING IN OPINION!! FUCK STOP THIS! MADDOX IS A PRICK,1
you are full of shit! Don’t you know,1
He/she’s so cute!,0
you bitch shut up,1
You are a valuable and important person  ,0
you are like weapon,1
you are trash!!,1
You bring happiness to those around you  ,0
I love your new shoes.,0
ypu are so immature I hate it,1
"You are loved for who you are, not what you do  ",0
don’t be problematic,1
Sorry to bother you.,0
I just don't give a damn,1
I admire you,0
That color looks great on you.,0
When will this ever get into your thick skull,1
your thiking is so cheap I cant tolorate it,1
Shut up,0
"Oh, what an adorable face!",0
The dress looks stunning.,0
You are special and unique  ,0
you lknow what I am allergic to bitches,1
I’m glad you like it.,0
You are so conservative I am done with you,1
vulgar,1
you are so immature!! That all you could do,1
The dress looks stunning.,0
cant you stop irritating me ,1
"Whatever, dumbass. ",1
That color looks great on you.,0
"No, I don’t want",0
Have a good weekend,0
it hurt to even see you,1
I’m good.,0
You are talented and gifted  ,0
"Stay true to yourself, it sets you apart  ",0
Stay confident and embrace your individuality  ,0
I'm going to leave.,0
I'm not married.,0
I thought the clothes were cheaper.,0
I’m sorry,0
I like your shirt – where did you get it?,0
You dirty dog,1
He must be narrow minded,1
I'm hungry.,0
You look great.,0
"you piece of shit, you are  a robber ",1
They like each other.,0
It’s very kind of you to say that.,0
It’s none of you business,0
I don’t thing I will ever like that bastard,1
"Reshmi, what a beautiful dress!",0
Thank you sir.,0
show some mercy oh it’s the bitch ,1
I love the decor.,0
I am gald you are alive but you so easily have died and it would soley be your fault,1
you are so fake!! Its so annoying,1
You have so much to offer  ,0
She’s well-mannered kid.,0
As if I care,1
It's all one hell of a mess,1
What the hell!,1
I'll take it.,0
You look nice.,0
Your daughter is a smart cookie.,0
What a nice apartment!,0
Get the hell out of here!,1
you are like weapon,1
they are toxic substances,1
Please fill out this form.,0
Let's practice English.,0
We like it very much.,0
I apologize,0
"No, I don’t want",0
It really takes time,0
Go to hell!,1
You failed All my expectation! Get out ,1
She’s darn cute,0
We like it very much.,0
Let me think about it.,0
"Stay encouraged, you got this  ",0
You have so much potential  ,0
that all you deserve  whorefucker,1
This soup is very tasty.,0
You have so much to offer  ,0
I hate it when people act all mighty when they are just dumb ass,1
Keep dreaming big and making it a reality  ,0
I'm thirsty.,0
can you stop talking asshole,1
You are a crimes,1
Everyone is making trool of him ,1
You look very handsome.,0
Not yet.,0
"I'm sorry, we're sold out.",0
that venom is deadly,1
Let’s catch up!,0
To hell with her!,1
he was so abusive,1
Give me a hand,0
Not yet.,0
dam it ! How could you do that to me you stupid,1
You are a criminal,1
why the fuck did you vomit in my car?,1
What the bloody hell,1
He's right.,0
"I am done thiking about you, u are so evill",1
You are a retard,1
Your daughter is a smart cookie.,0
You're very nice.,0
This doesn't work.,0
We like it very much.,0
She's pretty.,0
Where did you get that lovely table?,0
You are a asslover,1
I’m sorry.,0
"Stay focused, you will get there  ",0
you lack a ton of common sense and have publicly embrassed your self,1
You’re looking very beautiful today.,0
She can be a real bitch.,1
What a lovely necklace!,0
Don’t be ridicolus,0
Life is hell!,1
are you mad? Why are you being so much bitch?,1
That's fine.,0
Let’s do it.,0
Don’t be ridicolus,0
He's coming soon.,0
you must do not be a yelling man,1
if I could I will kill you,1
don’t be problematic,1
they should be punished.i hate them,1
I'll take it.,0
Your daughter is a smart cookie.,0
Join me.,0
"I'm sorry, we're sold out.",0
Your kids are a lot of fun.,0
I hope you and your wife have a nice trip.,0
why I fuck do I always care what those insignificant people say,1
Thank you very much.,0
You are a ass,1
I don’t know you deepshit,1
Thanks for everything.,0
That's it.,0
Can you translate this for me?,0
wtf! What do you mean?,1
She is very rude,1
Thank you very much.,0
I hate when people talk nonsensence without kowing me,1
He's mental,1
you mean person!!,1
You are a valuable member of this community  ,0
you looks so unhappy,1
How kind of you to say so.,0
Thanks for your help.,0
See you,0
get lost asshole,1
you are arrogant,1
You look very good in that suit.,0
Thank you very much.,0
on shit! asshat,1
I agree.,0
that was rude!!,1
I’m glad you like it.,0
Where are the damn keys,1
"If you need my help, please let me know.",0
You are a queer,1
“you don’t belong here.,1
It’s fort he best,0
"Hey, beanpole",1
"u r Racist
Sexist",1
"Oh, what an adorable face!",0
you dumb bitch and seriously ugly,1
This tie looks nice on you.,0
 violence is all you know right,1
I’m at home,0
Thank you miss.,0
he was so abusive,1
They're the same.,0
You look nice.,0
if I could I will kill you,1
you are boring me to hell,1
your words sre so hurtful!! How can you so that?,1
Keep pursuing your dreams  ,0
you come across as someone who cant be arsed to do some simple reasearch,1
Thanks for your compliment.,0
She's such a freak,1
I cant tolorate your hateful glance,1
 I will reject you,1
See you tonight.,0
shit bugger off piss off bloody hell bastard asshole bastard moro cunt crap faggot holy shit bollocks frigging moron arse idiot,1
terrible people  with terrible thinking,1
I agree.,0
You raped such a innocient soul,1
Cheer up!,0
You are a criminal,1
I am feeling so active today,0
She's pretty.,0
This is so freaking impossible,1
Come on,0
you know you can do much better that that piece of shit,1
He's mental,1
people arenot kind or friendly.they are terrible bunch of people,1
It’s fort he best,0
What a lovely necklace!,0
Nice to meet you.,0
What the hell!,1
you sure are the bastard that everyone talks about,1
Be proud of who you are and all you have accomplished  ,0
I do not mean it,0
Such a useless fellow,1
I love what you have done with the place.,0
Thank you very much.,0
I will  whop  you,1
He's full of crap,1
Let’s catch up!,0
Enjoy yourself,0
You look amazing!,0
I need to go home.,0
How kind of you to say so.,0
It’s none of you business,0
who the fuck are you?,1
on shit! asshat,1
why are they insulting politicians,1
You are enough just the way you are  ,0
It's none of your damn business,1
I don’t know you deepshit,1
You failed All my expectation! Get out ,1
Don’t be so childish,0
You have a big heart and a big impact  ,0
don’t  torture me I am so done,1
don’t  torture me I am so done,1
I I know I have no right to say but he is asshole,1
Don’t move!,0
"Whatever, dumbass. ",1
I cant tolorate your hateful glance,1
I'm not married.,0
You are a cornhole,1
You have the power to change the world for the better  ,0
That's fine.,0
I decline!,0
Cheer up!,0
Please write it down.,0
I am gald you are alive but you so easily have died and it would soley be your fault,1
I'm married.,0
I apologize,0
You’re a fantastic cook.,0
"Very good, thanks.",0
Such a filthy guy,1
You are a valuable and important person  ,0
stop annoying me,1
I’m glad you like it.,0
You have a great sense of humor  ,0
I will  whop  you,1
It doesn’t matter.,0
Thanks for everything.,0
 rape its disgusting,1
 rape its disgusting,1
"u r Racist
Sexist",1
dumb bitch ! Leave from my sight,1
I'm hungry.,0
I will always agree with you,0
why were you   attacking people,1
Keep pushing forward and never give up  ,0
This is disrespect,1
What the hell is wrong with you,1
P*ss off!,1
It’s none of you business,0
You are a queer,1
Excellent.,0
you are so annoying ,1
I like your shirt – where did you get it?,0
"Oh, what an adorable face!",0
bullying occurs in their area,1
Good morning,0
you lknow what I am allergic to bitches,1
Follow me,0
You're very smart.,0
I hate when people talk nonsensence without kowing me,1
I’m delighted to hear that.,0
It’s ok,0
"Seriously, you liked it that much.",0
I'm not ready yet.,0
I admire your positive attitude  ,0
Your children are very well-behaved.,0
I'm not busy.,0
I'll take you to the bus stop.,0
God bless you,0
Thanks for your help.,0
Yall Niggas are dumb.Sean Kingston never played biggie.I was joking around dumbfucks.,1
I'm coming to pick you up.,0
Yall Niggas are dumb.Sean Kingston never played biggie.I was joking around dumbfucks.,1
You look very good in that suit.,0
I care a damn for it,1
on shit! asshat,1
“you don’t belong here.,1
You have a beautiful home.,0
Let me think about it.,0
"we will, we will fuck you!",1
You are a crimes,1
Be careful!,0
do not be a whiskey,1
you are arrogant,1
You have a lovely voice.,0
He's very famous.,0
I love the decor.,0
You are a arsehole,1
It costs a hell of a lot of money,1
why don’t you just go back where you came from? ” like hell,1
"Wow, you look hot!",0
I hate it when people act all mighty when they are just dumb ass,1
Shameless creature,1
I don’t have time,0
God bless you,0
"Very good, thanks.",0
You look nice.,0
I love the decor.,0
you piece of shit how coluld you do that,1
do not wanna wank,1
You make a positive difference in the world  ,0
Your children are very well-behaved.,0
We like it very much.,0
I'm hungry.,0
Damn good!,1
When will this ever get into your thick skull,1
You lazy beggar,1
It’s very kind of you to say that.,0
We like it very much.,0
smoking is injurious,1
I'm coming to pick you up.,0
I'll pay.,0
Would you take a message please?,0
wtf is this woman doing here,1
Where did you get that lovely table?,0
We like it very much.,0
They'll be right back.,0
fuck off! I don’t want to start this again,1
I got it.,0
Any day will do,0
Have a good weekend,0
You stupid ,1
you are psycho,1
You are a failure! I ant be your friend,1
